amount,retry_count,failure_count,transaction_frequency_10min,hour_of_day,previous_success_rate,velocity_score,device_trust_score,risk_score,failed,failure_category
1901.97,0,1,1,18,0.981,0.65,0.96,19.6,0,SUCCESS
278.34,1,0,1,7,0.956,0.27,0.9,29.6,1,INSUFFICIENT_FUNDS
6744.06,0,0,1,11,0.976,0.8,0.98,13.2,0,SUCCESS
1161.53,0,0,1,12,0.989,0.35,0.94,5.6,0,SUCCESS
1287.45,0,1,1,16,0.968,0.52,0.93,8.3,0,SUCCESS
3904.05,0,0,2,13,0.984,0.61,0.96,7.9,0,SUCCESS
59.39,1,1,1,13,0.956,0.64,0.93,9.0,0,SUCCESS
1715.17,0,0,2,14,0.897,1.08,0.89,24.6,0,SUCCESS
628.27,0,0,1,17,0.922,0.64,0.86,16.6,0,SUCCESS
1141.47,1,0,1,20,0.984,0.87,0.92,14.8,0,SUCCESS
510.26,2,2,2,20,0.989,0.98,0.9,26.3,1,TIMEOUT
3032.18,1,1,1,19,0.989,0.2,0.94,19.4,0,SUCCESS
1206.15,0,0,2,22,0.936,0.45,0.99,11.7,0,SUCCESS
3699.48,1,0,1,12,0.992,0.84,0.98,14.1,0,SUCCESS
243.23,0,0,1,18,0.935,0.38,0.9,6.0,0,SUCCESS
807.01,0,1,1,18,0.992,1.13,0.87,12.6,0,SUCCESS
83.36,0,0,1,11,0.923,0.83,0.96,13.6,0,SUCCESS
488.11,0,0,2,17,0.958,0.45,0.96,20.5,0,SUCCESS
2113.34,1,1,2,19,0.815,0.83,0.85,34.8,1,TIMEOUT
640.96,0,0,2,9,1.0,1.0,0.98,17.7,0,SUCCESS
99.94,0,0,2,15,0.991,0.57,0.87,19.0,0,SUCCESS
476.08,1,0,1,7,0.962,1.03,0.87,8.2,0,SUCCESS
1922.25,0,0,1,21,0.885,0.82,0.9,12.4,0,SUCCESS
1811.21,0,0,2,6,0.928,1.15,0.91,20.4,0,SUCCESS
842.69,0,0,1,18,0.961,0.89,0.9,9.3,0,SUCCESS
2065.54,0,0,1,7,0.904,1.01,0.98,10.8,0,SUCCESS
3699.38,0,0,1,8,0.948,0.58,0.99,10.5,0,SUCCESS
661.31,0,0,1,16,0.897,0.21,0.94,23.6,0,SUCCESS
1364.75,0,0,1,10,0.994,1.1,0.96,21.4,0,SUCCESS
2080.1,1,2,1,17,0.892,0.65,0.93,18.4,1,NETWORK_FAILURE
2519.57,0,0,2,17,0.953,0.28,0.95,20.3,0,SUCCESS
1104.17,0,0,1,12,0.91,1.0,0.97,24.6,0,SUCCESS
885.27,0,0,1,13,0.97,0.33,0.93,15.9,0,SUCCESS
75983.0,6,8,17,2,0.35,4.05,0.08,96.6,1,AUTHENTICATION_FAILURE
2542.09,0,0,1,14,0.892,0.22,0.94,24.2,0,SUCCESS
2847.02,1,0,2,20,0.908,0.84,0.89,19.3,0,SUCCESS
2531.71,1,1,1,22,0.926,0.62,0.86,10.8,0,SUCCESS
769.21,0,0,1,19,0.95,0.28,0.88,14.5,0,SUCCESS
587.34,1,0,2,19,0.944,0.78,0.97,11.8,0,SUCCESS
2013.58,0,0,1,19,0.887,0.75,0.94,23.7,0,SUCCESS
1602.82,0,0,1,11,0.975,0.69,0.9,21.9,1,INSUFFICIENT_FUNDS
376.5,0,0,1,16,0.917,0.37,0.92,11.1,0,SUCCESS
91.95,0,0,2,21,0.985,0.49,0.86,11.0,0,SUCCESS
1388.01,0,0,2,16,0.925,0.46,0.89,14.2,0,SUCCESS
1759.14,0,0,1,7,0.889,0.86,0.89,14.8,0,SUCCESS
453.4,0,0,2,6,0.993,1.12,0.94,28.3,1,INSUFFICIENT_FUNDS
45605.0,4,6,19,23,0.094,4.48,0.2,94.0,1,AUTHENTICATION_FAILURE
310.76,0,0,1,18,0.95,0.93,0.9,5.7,0,SUCCESS
212.29,0,0,1,10,0.964,0.86,1.0,10.3,0,SUCCESS
1386.91,0,0,1,8,0.926,1.04,0.98,17.1,0,SUCCESS
2439.45,1,2,1,22,0.927,0.7,0.98,18.9,1,TIMEOUT
500.34,0,0,1,20,0.957,0.9,0.87,22.0,0,SUCCESS
95942.0,6,5,15,23,0.091,7.66,0.08,100.0,1,DUPLICATE_TRANSACTION
669.26,0,0,2,14,0.994,0.78,0.93,6.0,0,SUCCESS
312.43,3,3,1,13,0.886,1.99,0.89,34.9,1,GATEWAY_FAILURE
3128.45,0,0,1,18,0.987,0.26,0.92,9.1,0,SUCCESS
1052.09,0,0,1,6,0.935,0.48,0.91,8.2,0,SUCCESS
2650.24,0,0,2,19,0.947,0.37,0.88,11.4,0,SUCCESS
1129.2,0,0,2,22,0.94,0.31,0.91,9.8,0,SUCCESS
150425.0,5,9,15,2,0.082,4.06,0.11,100.0,1,AUTHENTICATION_FAILURE
155.47,2,2,1,10,0.911,1.05,0.72,39.1,1,BANK_FAILURE
667.05,0,0,1,7,0.943,0.46,0.97,23.5,0,SUCCESS
1288.89,2,2,2,15,0.93,1.39,0.94,19.9,1,TIMEOUT
6858.12,1,1,2,16,0.792,1.25,0.74,41.0,1,BANK_FAILURE
1523.03,0,0,1,12,0.924,0.31,0.94,22.2,1,INSUFFICIENT_FUNDS
5165.81,0,0,1,17,0.927,0.78,0.99,16.1,0,SUCCESS
279.12,0,0,1,15,0.997,0.36,0.9,13.4,0,SUCCESS
643.52,0,0,1,12,0.891,0.74,0.96,33.6,1,INSUFFICIENT_FUNDS
1168.87,0,0,1,21,0.903,0.21,0.86,16.1,0,SUCCESS
95218.0,5,5,19,4,0.242,6.91,0.25,100.0,1,AUTHENTICATION_FAILURE
340.19,0,0,1,15,0.937,0.72,0.88,14.2,0,SUCCESS
2849.0,0,0,1,17,0.998,0.3,0.9,17.8,0,SUCCESS
565.95,1,0,1,14,0.96,0.65,0.98,24.2,0,SUCCESS
1839.42,0,0,1,6,0.981,0.39,0.97,16.3,0,SUCCESS
1772.53,0,0,1,16,0.926,0.64,0.87,7.0,0,SUCCESS
2066.8,2,2,1,16,0.886,1.96,0.9,44.9,1,BANK_FAILURE
1487.14,0,0,1,8,0.922,0.28,0.96,11.2,0,SUCCESS
1882.01,0,0,1,13,0.883,0.83,0.87,16.3,0,SUCCESS
890.2,0,0,1,13,0.924,0.8,0.98,22.8,0,SUCCESS
1289.44,2,2,1,16,0.865,0.69,0.91,21.3,1,NETWORK_FAILURE
154.77,1,0,1,11,0.954,0.71,0.93,12.2,0,SUCCESS
150.98,0,0,1,15,0.96,0.52,0.95,22.4,0,SUCCESS
374.36,1,0,2,16,0.926,0.47,0.91,6.9,0,SUCCESS
210.21,0,0,1,6,0.903,0.66,0.89,9.9,0,SUCCESS
1292.57,1,0,1,11,0.979,0.62,0.86,10.5,0,SUCCESS
4743.76,0,0,1,6,0.912,1.2,0.88,20.2,1,INSUFFICIENT_FUNDS
242.34,0,0,1,12,0.99,1.17,0.93,28.2,1,INSUFFICIENT_FUNDS
3529.88,1,0,1,9,0.982,1.11,0.93,17.6,0,SUCCESS
405.33,0,0,1,20,0.9,0.7,0.97,18.3,0,SUCCESS
544.65,0,1,1,13,0.953,0.88,0.93,19.4,0,SUCCESS
1094.16,1,1,1,10,0.996,1.09,0.94,15.6,0,SUCCESS
149.82,1,1,1,14,0.919,1.06,0.95,20.6,1,NETWORK_FAILURE
1047.76,0,0,1,13,0.93,0.95,0.95,24.8,0,SUCCESS
439.7,0,0,1,21,0.933,1.12,0.92,16.0,0,SUCCESS
2962.87,2,2,2,8,0.925,1.02,0.8,23.3,1,TIMEOUT
475.72,0,0,1,9,0.886,0.55,0.98,12.9,0,SUCCESS
315.51,1,0,1,15,0.986,0.97,0.96,20.9,0,SUCCESS
425.7,0,0,1,17,0.936,0.26,0.89,13.7,0,SUCCESS
253.81,0,0,2,21,0.972,0.47,0.94,19.4,0,SUCCESS
3450.95,1,0,1,17,0.889,0.82,0.95,12.6,0,SUCCESS
3755.02,0,0,1,21,0.965,0.91,0.89,18.1,0,SUCCESS
314.08,0,0,1,10,0.945,1.17,0.92,6.3,0,SUCCESS
1543.08,2,2,1,17,0.882,0.82,0.98,18.8,1,NETWORK_FAILURE
1195.75,0,0,1,8,0.908,0.89,1.0,18.8,0,SUCCESS
2625.68,0,0,1,15,0.938,0.9,0.98,12.1,0,SUCCESS
412.59,1,0,1,22,0.972,0.86,0.97,18.0,0,SUCCESS
95588.0,4,7,9,1,0.091,6.4,0.09,100.0,1,DUPLICATE_TRANSACTION
839.48,0,0,1,20,0.903,0.69,0.99,12.7,0,SUCCESS
711.75,1,1,2,22,0.913,0.27,0.96,9.8,0,SUCCESS
1380.32,1,1,3,17,0.736,1.43,0.97,37.2,1,BANK_FAILURE
4966.1,1,0,1,16,0.884,0.86,0.89,16.2,0,SUCCESS
442.11,0,0,1,15,0.991,0.41,0.98,5.6,0,SUCCESS
388.19,1,2,1,10,0.752,1.44,0.91,37.5,1,GATEWAY_FAILURE
814.71,0,0,1,21,0.961,1.11,0.96,19.7,0,SUCCESS
149.08,0,1,1,13,0.981,0.75,0.99,23.5,0,SUCCESS
59.97,0,0,1,12,0.991,1.07,0.92,6.2,0,SUCCESS
1553.48,1,1,1,9,0.903,1.0,1.0,10.4,0,SUCCESS
868.42,0,0,1,6,0.947,0.7,0.87,13.8,0,SUCCESS
536.95,0,0,2,18,0.938,0.49,0.89,5.5,0,SUCCESS
451.92,0,0,1,22,0.886,0.95,0.99,9.8,0,SUCCESS
802.55,1,2,1,13,0.829,0.86,0.94,26.2,1,NETWORK_FAILURE
635.22,1,0,1,12,0.881,0.28,0.98,6.6,0,SUCCESS
1521.3,1,0,1,21,0.887,0.58,0.99,29.1,1,INSUFFICIENT_FUNDS
1351.05,0,0,2,7,0.969,0.29,0.95,13.2,0,SUCCESS
1740.5,1,1,2,19,0.789,1.01,0.89,37.3,1,BANK_FAILURE
45705.0,5,9,16,4,0.319,8.46,0.18,100.0,1,AUTHENTICATION_FAILURE
3517.86,1,0,2,16,0.942,0.67,0.89,21.4,0,SUCCESS
2807.32,0,0,1,17,0.917,1.07,0.96,10.0,0,SUCCESS
93.42,0,0,2,11,0.944,0.86,0.94,13.5,0,SUCCESS
318.09,0,0,1,21,0.943,0.85,0.97,20.3,0,SUCCESS
4369.55,0,0,1,17,0.889,0.55,0.96,13.8,0,SUCCESS
2092.1,0,0,1,6,0.992,1.15,0.86,14.1,0,SUCCESS
1177.97,0,1,2,14,0.929,0.88,0.88,17.0,0,SUCCESS
3138.75,3,3,3,12,0.881,1.03,0.95,33.6,1,BANK_FAILURE
496.17,2,2,1,15,0.881,1.09,0.9,18.0,1,NETWORK_FAILURE
130.39,0,0,1,10,0.916,0.77,0.92,11.9,0,SUCCESS
1695.64,0,0,1,9,0.92,0.94,0.87,7.6,0,SUCCESS
557.89,0,1,2,19,0.985,0.24,0.97,16.4,0,SUCCESS
1171.18,1,0,1,18,0.91,0.76,0.93,18.1,0,SUCCESS
367.62,0,0,2,8,0.917,0.89,0.85,12.5,0,SUCCESS
569.1,0,0,1,16,0.905,1.0,0.97,13.3,0,SUCCESS
699.2,2,2,2,17,0.926,0.86,0.96,20.9,1,TIMEOUT
75475.0,6,6,13,2,0.348,7.89,0.13,100.0,1,AUTHENTICATION_FAILURE
358.47,0,0,1,18,0.892,0.43,0.96,21.5,0,SUCCESS
3600.2,1,2,1,21,0.846,0.97,0.92,32.7,1,TIMEOUT
2685.3,0,0,1,10,0.884,0.78,0.97,5.3,0,SUCCESS
1535.05,2,2,1,11,0.801,0.51,0.88,18.1,1,TIMEOUT
1359.38,0,0,1,18,0.993,0.2,0.89,23.8,0,SUCCESS
274.17,0,0,1,14,0.948,1.06,0.92,24.9,0,SUCCESS
1413.22,0,0,1,20,0.999,0.61,0.89,16.2,0,SUCCESS
484.42,1,0,1,12,0.901,1.16,0.88,8.6,0,SUCCESS
3009.49,0,0,2,14,0.914,0.48,0.87,8.3,0,SUCCESS
451.88,0,0,1,14,0.945,0.76,0.93,17.2,0,SUCCESS
417.32,0,0,2,9,0.894,1.07,0.95,8.3,0,SUCCESS
723.19,0,0,1,13,0.899,0.22,0.9,16.8,0,SUCCESS
227.59,0,0,1,6,0.938,0.7,0.9,19.6,0,SUCCESS
2541.9,1,0,1,14,0.993,1.06,0.93,13.2,0,SUCCESS
534.88,0,0,1,6,0.893,0.89,0.89,10.1,0,SUCCESS
7629.67,0,0,1,18,0.892,0.73,0.86,7.2,0,SUCCESS
346.21,0,0,1,8,0.944,0.99,0.97,24.2,0,SUCCESS
2135.55,0,0,1,18,0.918,0.97,0.86,5.3,0,SUCCESS
1953.89,0,0,1,14,0.941,0.25,0.93,23.7,0,SUCCESS
1141.41,0,0,1,17,0.942,1.18,0.99,9.3,0,SUCCESS
2048.87,0,0,1,7,0.942,0.32,0.99,10.8,0,SUCCESS
2349.33,0,0,1,20,0.941,1.12,0.99,8.1,0,SUCCESS
597.06,1,0,1,16,0.899,1.17,0.99,8.3,0,SUCCESS
472.87,2,2,1,11,0.909,1.17,0.84,33.0,1,GATEWAY_FAILURE
2366.87,0,0,1,20,0.992,1.11,0.97,5.4,0,SUCCESS
811.84,1,2,2,16,0.973,1.13,0.81,33.2,1,TIMEOUT
3846.45,0,0,1,15,0.944,0.5,0.91,8.6,0,SUCCESS
1084.51,0,0,1,18,0.94,0.28,0.94,11.8,0,SUCCESS
2373.91,0,0,1,14,0.937,0.38,0.92,19.1,0,SUCCESS
85.29,0,0,1,6,0.905,0.52,0.92,23.9,0,SUCCESS
3270.17,1,0,1,11,0.893,1.04,0.92,18.2,0,SUCCESS
906.69,0,0,1,20,0.971,0.68,0.87,7.3,0,SUCCESS
1989.6,0,0,1,13,0.885,0.84,0.89,6.0,0,SUCCESS
806.59,1,2,3,17,0.821,1.3,0.97,29.0,1,BANK_FAILURE
340.04,1,0,2,20,0.926,0.96,0.95,15.6,0,SUCCESS
173.93,0,0,1,17,0.984,0.37,0.98,22.6,0,SUCCESS
1005.69,0,0,1,14,0.926,0.48,0.96,22.2,0,SUCCESS
2009.77,1,2,2,10,0.81,0.95,0.81,26.4,1,NETWORK_FAILURE
967.41,2,2,1,17,0.913,1.04,0.8,16.4,1,NETWORK_FAILURE
460.61,0,0,1,18,0.965,1.17,0.97,9.9,0,SUCCESS
2916.93,0,1,1,8,0.936,1.09,0.95,27.4,1,INSUFFICIENT_FUNDS
464.75,0,0,1,16,0.941,0.52,1.0,23.7,0,SUCCESS
2503.48,0,1,1,19,0.988,1.05,0.91,7.2,0,SUCCESS
143.37,0,0,1,11,0.957,1.05,0.89,8.3,0,SUCCESS
620.72,0,0,1,7,0.941,0.92,0.9,11.5,0,SUCCESS
816.7,0,0,1,10,0.932,0.67,0.87,5.6,0,SUCCESS
3571.76,0,1,1,20,0.922,0.89,0.87,22.9,0,SUCCESS
671.01,0,0,1,8,0.965,1.02,0.89,18.2,0,SUCCESS
646.09,0,0,1,10,0.972,0.55,0.91,15.7,0,SUCCESS
49.29,0,0,2,17,0.961,0.45,0.85,8.3,0,SUCCESS
1168.7,0,0,1,21,0.909,0.28,0.9,20.0,0,SUCCESS
1539.08,1,2,1,10,0.951,1.1,0.9,15.8,1,TIMEOUT
5035.59,0,1,1,6,0.88,0.21,0.97,10.2,0,SUCCESS
1262.16,1,0,2,18,0.933,1.04,0.89,14.0,0,SUCCESS
2078.81,1,1,1,19,0.862,0.98,0.96,32.7,1,BANK_FAILURE
1618.07,0,0,1,22,0.975,0.34,0.92,21.6,0,SUCCESS
481.61,0,0,1,14,0.939,0.32,0.97,9.9,0,SUCCESS
4236.69,2,1,2,22,0.899,1.18,0.96,17.6,1,TIMEOUT
1151.42,0,0,2,13,0.94,0.35,0.88,12.3,0,SUCCESS
728.68,0,0,1,9,0.997,0.42,0.97,6.2,0,SUCCESS
95835.0,3,4,14,1,0.053,4.92,0.17,99.4,1,AUTHENTICATION_FAILURE
473.04,0,1,1,18,0.958,0.82,0.9,6.7,0,SUCCESS
163.41,0,0,1,6,0.895,0.56,0.94,21.7,0,SUCCESS
102.57,0,0,1,11,0.913,1.17,0.9,25.0,0,SUCCESS
14058.11,2,3,3,15,0.707,1.09,0.95,33.3,1,GATEWAY_FAILURE
2392.48,1,1,2,18,0.836,1.02,0.98,31.1,1,NETWORK_FAILURE
130.72,0,0,1,15,0.964,0.31,0.97,14.8,0,SUCCESS
3984.43,3,2,2,9,0.718,1.13,0.79,43.9,1,BANK_FAILURE
447.66,0,0,1,13,0.961,0.36,0.92,19.8,0,SUCCESS
2468.58,0,0,1,14,0.998,0.94,0.97,18.1,0,SUCCESS
814.63,0,0,1,7,0.992,0.92,0.96,9.4,0,SUCCESS
1152.47,1,2,2,10,0.82,1.46,0.98,20.4,1,TIMEOUT
2125.3,1,0,1,16,0.918,0.93,0.89,19.7,0,SUCCESS
229.82,2,2,1,14,0.883,1.11,0.92,17.6,1,TIMEOUT
1742.85,0,0,2,18,0.978,0.55,0.97,12.1,0,SUCCESS
176.7,0,0,2,18,0.999,0.97,0.88,15.0,0,SUCCESS
815.21,1,1,3,12,0.757,1.91,0.87,32.6,1,GATEWAY_FAILURE
885.43,0,0,1,13,0.947,0.69,0.93,8.5,0,SUCCESS
2059.26,0,0,1,9,0.896,0.97,0.99,23.9,0,SUCCESS
601.57,0,0,1,12,0.942,0.31,0.99,8.7,0,SUCCESS
623.48,1,1,1,11,0.951,0.96,0.83,20.3,1,TIMEOUT
150105.0,3,7,15,3,0.088,4.06,0.05,99.9,1,AUTHENTICATION_FAILURE
4400.96,0,1,1,18,0.896,0.5,0.98,24.4,0,SUCCESS
2402.56,1,0,2,9,0.948,0.54,0.93,6.5,0,SUCCESS
1784.99,0,0,1,15,0.945,0.54,0.92,17.3,0,SUCCESS
2486.25,0,0,1,20,0.996,0.98,0.85,17.0,0,SUCCESS
1475.55,0,0,2,10,0.886,0.87,0.98,8.3,0,SUCCESS
150615.0,7,4,5,3,0.143,8.47,0.15,100.0,1,AUTHENTICATION_FAILURE
111.19,0,0,1,20,0.998,1.12,0.97,11.5,0,SUCCESS
2086.93,0,0,1,11,0.88,1.01,0.86,8.8,0,SUCCESS
634.77,0,0,1,19,0.933,1.1,0.87,7.5,0,SUCCESS
150659.0,4,5,5,23,0.083,7.67,0.23,100.0,1,DUPLICATE_TRANSACTION
75560.0,5,7,5,23,0.123,6.27,0.21,100.0,1,AUTHENTICATION_FAILURE
5435.5,1,2,1,15,0.815,0.61,0.9,18.2,1,NETWORK_FAILURE
4643.62,0,0,1,22,0.958,0.55,0.99,21.0,0,SUCCESS
2638.45,2,1,1,9,0.71,1.9,0.93,31.0,1,GATEWAY_FAILURE
1917.73,1,0,1,10,0.996,0.73,0.9,12.3,0,SUCCESS
131.46,0,0,1,21,0.959,0.64,0.99,9.9,0,SUCCESS
960.37,0,0,1,20,0.888,0.39,0.88,19.8,0,SUCCESS
95111.0,3,6,17,3,0.231,5.44,0.12,97.3,1,DUPLICATE_TRANSACTION
424.19,0,0,1,16,0.993,0.6,0.95,14.8,0,SUCCESS
1946.55,2,3,1,14,0.818,1.65,0.96,31.6,1,BANK_FAILURE
45646.0,6,8,14,1,0.316,8.92,0.33,100.0,1,DUPLICATE_TRANSACTION
2547.82,1,0,1,6,0.959,0.59,0.88,19.6,0,SUCCESS
249.89,0,0,2,14,0.949,0.39,0.99,18.5,0,SUCCESS
1252.75,0,0,1,16,0.931,0.5,0.89,8.3,0,SUCCESS
589.74,0,0,2,18,0.951,0.29,0.91,8.5,0,SUCCESS
5269.64,1,0,1,7,0.962,0.53,0.86,24.5,0,SUCCESS
453.68,0,0,1,12,0.958,0.22,0.97,15.7,0,SUCCESS
440.24,0,0,1,16,0.978,0.33,0.85,18.8,0,SUCCESS
45661.0,3,7,11,23,0.255,6.32,0.2,100.0,1,AUTHENTICATION_FAILURE
137.61,0,1,1,12,0.931,0.65,0.89,21.5,0,SUCCESS
845.9,1,1,2,16,0.917,0.38,0.86,19.3,0,SUCCESS
150936.0,6,5,16,23,0.102,6.55,0.21,100.0,1,DUPLICATE_TRANSACTION
117.02,0,1,1,15,0.96,0.49,0.92,8.9,0,SUCCESS
332.43,0,0,1,17,0.981,0.72,0.98,5.1,0,SUCCESS
91.97,1,0,1,9,0.934,0.95,0.99,20.4,0,SUCCESS
4768.78,1,3,1,13,0.729,1.44,0.82,30.4,1,GATEWAY_FAILURE
1160.62,0,0,1,14,0.891,0.49,1.0,24.2,0,SUCCESS
512.65,0,1,1,19,0.938,0.57,0.99,12.4,0,SUCCESS
610.02,0,0,2,18,0.984,1.03,0.97,19.0,0,SUCCESS
462.38,0,0,1,10,0.885,1.07,0.93,13.0,0,SUCCESS
874.0,0,0,1,15,0.897,0.74,0.85,6.9,0,SUCCESS
115.88,0,0,1,22,0.933,0.7,0.91,18.6,0,SUCCESS
704.53,0,1,1,10,0.995,1.08,0.99,22.2,0,SUCCESS
45800.0,6,5,12,23,0.075,8.18,0.11,100.0,1,AUTHENTICATION_FAILURE
988.37,0,0,2,7,0.997,0.48,0.97,24.1,1,INSUFFICIENT_FUNDS
1421.81,0,0,2,12,0.919,0.81,0.99,21.7,0,SUCCESS
6529.05,0,0,1,15,0.909,0.99,0.86,12.4,0,SUCCESS
894.8,0,0,1,21,0.967,0.55,0.94,16.7,0,SUCCESS
1000.87,0,0,1,18,0.931,0.47,0.91,21.7,0,SUCCESS
242.09,0,0,1,6,0.981,0.9,0.97,12.0,0,SUCCESS
1446.53,1,1,1,9,0.715,1.51,0.98,28.3,1,GATEWAY_FAILURE
106.37,0,0,1,11,0.993,0.8,0.87,16.5,0,SUCCESS
150839.0,3,8,17,1,0.116,6.29,0.21,100.0,1,AUTHENTICATION_FAILURE
1644.99,0,0,2,8,0.956,0.55,0.89,27.1,1,INSUFFICIENT_FUNDS
551.3,0,0,1,13,0.887,1.02,0.86,12.3,0,SUCCESS
1505.77,2,1,2,21,0.843,1.43,0.9,27.6,1,TIMEOUT
45595.0,5,8,10,1,0.287,7.38,0.2,100.0,1,AUTHENTICATION_FAILURE
150736.0,5,4,5,4,0.117,8.12,0.27,100.0,1,AUTHENTICATION_FAILURE
462.65,3,2,1,16,0.703,2.0,0.78,38.4,1,BANK_FAILURE
282.3,0,0,1,6,0.99,1.04,0.98,20.4,0,SUCCESS
95137.0,3,9,15,23,0.113,8.46,0.17,100.0,1,AUTHENTICATION_FAILURE
762.94,0,0,2,21,0.886,1.13,0.99,8.8,0,SUCCESS
1402.86,0,0,1,17,0.899,0.89,0.93,18.0,0,SUCCESS
2694.32,1,0,1,14,0.929,0.31,0.94,5.8,0,SUCCESS
948.2,0,0,1,19,0.998,0.87,0.86,11.5,0,SUCCESS
1220.61,1,0,1,15,0.934,0.53,0.92,10.3,0,SUCCESS
264.98,1,0,2,22,0.942,0.4,0.9,16.8,0,SUCCESS
138.96,0,0,1,16,0.977,0.95,0.96,19.3,0,SUCCESS
1377.16,0,0,1,14,0.957,0.24,0.94,20.6,0,SUCCESS
881.64,0,0,1,14,0.961,0.23,0.96,21.7,0,SUCCESS
692.71,0,0,1,18,0.972,0.76,0.98,15.6,0,SUCCESS
923.85,0,0,1,15,0.97,1.16,0.86,6.1,0,SUCCESS
3377.07,0,0,1,12,0.95,0.76,0.96,15.0,0,SUCCESS
671.12,1,1,2,13,0.937,1.07,0.95,17.8,1,NETWORK_FAILURE
2618.28,0,0,1,16,0.992,0.88,0.91,18.8,0,SUCCESS
554.88,0,0,2,18,1.0,0.95,0.95,12.1,0,SUCCESS
276.03,3,3,2,12,0.82,0.82,0.73,31.5,1,GATEWAY_FAILURE
738.74,0,0,1,19,0.934,0.27,0.99,24.0,1,INSUFFICIENT_FUNDS
3115.0,0,0,1,18,0.957,0.25,0.91,8.5,0,SUCCESS
188.35,0,0,1,21,0.988,0.34,0.86,13.5,0,SUCCESS
3304.9,0,0,1,16,0.977,0.38,0.99,12.7,0,SUCCESS
550.48,0,0,2,11,0.948,0.72,0.96,16.6,0,SUCCESS
593.38,1,2,3,16,0.947,1.25,0.82,25.9,1,BANK_FAILURE
123.89,2,1,2,16,0.885,1.32,0.98,25.4,1,TIMEOUT
1047.98,1,0,2,19,0.911,1.08,0.98,8.9,0,SUCCESS
1190.82,0,0,2,13,0.949,1.14,0.98,24.7,0,SUCCESS
949.51,0,0,1,18,0.966,0.7,0.96,10.0,0,SUCCESS
519.65,0,0,2,8,0.883,0.54,0.97,22.9,0,SUCCESS
925.32,0,0,1,7,0.956,0.49,0.95,10.7,0,SUCCESS
1019.05,3,3,2,14,0.825,1.61,0.81,30.3,1,BANK_FAILURE
3760.75,0,0,1,15,0.958,0.93,0.85,23.7,0,SUCCESS
264.71,0,0,1,17,0.902,0.47,0.97,14.1,0,SUCCESS
1381.36,0,0,1,20,0.894,0.31,0.96,22.1,0,SUCCESS
405.39,0,0,1,8,0.909,0.62,0.94,14.6,0,SUCCESS
787.32,0,0,2,10,0.95,0.82,0.95,6.4,0,SUCCESS
1245.46,0,0,1,22,0.945,0.92,0.93,22.1,0,SUCCESS
3232.99,0,0,1,16,0.92,0.76,0.86,9.0,0,SUCCESS
689.23,0,0,1,9,0.884,0.73,0.95,9.1,0,SUCCESS
4352.16,2,1,2,21,0.878,0.74,0.95,17.6,1,TIMEOUT
1417.21,0,0,1,18,0.954,1.03,0.92,7.4,0,SUCCESS
65.48,0,0,1,15,0.964,0.99,0.89,14.9,0,SUCCESS
1082.98,2,1,1,15,0.826,0.7,0.81,19.0,1,TIMEOUT
60.09,1,1,1,17,0.928,0.57,0.88,13.6,0,SUCCESS
5044.81,0,1,1,14,0.881,1.04,0.85,23.8,0,SUCCESS
2720.58,1,0,1,7,0.985,0.22,0.92,9.5,0,SUCCESS
639.47,1,0,1,11,0.886,0.66,0.93,22.8,0,SUCCESS
181.66,0,0,1,8,0.905,0.59,0.9,13.0,0,SUCCESS
244.72,1,0,1,14,0.913,0.28,0.96,14.7,0,SUCCESS
2770.87,0,1,1,11,0.939,0.46,0.98,16.5,0,SUCCESS
348.92,0,1,1,18,0.937,0.24,0.9,10.8,0,SUCCESS
2048.76,0,0,1,20,0.977,0.87,0.96,13.6,0,SUCCESS
1415.29,1,0,1,22,0.909,0.88,0.87,22.0,1,INSUFFICIENT_FUNDS
1473.16,1,3,3,14,0.72,1.93,0.77,42.1,1,BANK_FAILURE
2438.64,0,0,1,20,0.891,0.29,0.96,11.5,0,SUCCESS
4597.99,0,0,1,20,0.912,0.32,0.93,16.7,0,SUCCESS
583.31,0,0,1,21,0.886,0.76,0.95,9.2,0,SUCCESS
237.13,0,0,1,17,0.996,1.19,0.97,18.3,0,SUCCESS
862.62,1,1,2,22,0.932,1.28,0.97,33.3,1,NETWORK_FAILURE
95959.0,5,5,18,4,0.16,4.21,0.19,98.7,1,AUTHENTICATION_FAILURE
228.65,1,2,2,18,0.934,1.08,0.72,30.2,1,GATEWAY_FAILURE
71.93,0,0,1,16,0.99,0.55,0.91,5.4,0,SUCCESS
427.51,0,0,1,10,0.905,0.89,0.88,13.8,0,SUCCESS
1876.92,0,0,2,8,0.916,0.86,0.87,18.7,0,SUCCESS
2983.36,0,0,1,16,0.918,0.32,0.89,9.2,0,SUCCESS
778.09,0,1,2,15,0.921,1.19,0.87,13.1,0,SUCCESS
150915.0,6,8,6,3,0.07,7.2,0.3,100.0,1,DUPLICATE_TRANSACTION
935.09,0,0,1,13,0.937,0.82,0.92,22.9,0,SUCCESS
875.67,1,1,1,8,0.92,0.79,0.92,19.9,0,SUCCESS
337.3,0,0,1,13,0.979,0.26,0.94,12.6,0,SUCCESS
1944.25,0,0,1,19,0.973,0.47,0.97,15.7,0,SUCCESS
114.04,0,0,1,6,0.912,0.24,0.96,14.0,0,SUCCESS
176.44,1,1,1,20,0.913,0.67,0.96,13.8,0,SUCCESS
